"","elgcoal","elgngas","elghydr","elgnuc","elgsun","elgwind","elgbio","inctxff","sbsrnen","banhhap","clmchng","wrclmch","ccnthum","gvsrdcc","lkredcc","lklmten","ownrdcc","psppipla","stfdem","trstplt","trstep","prtvtbit","lrscale","gndr","yrbrn","region","edlvdit","hinctnta"
"136",4,3,1,5,1,1,4,3,1,1,"Changing","Worried","Anthropic","Unlikely","Extremely","Very unlikely","Not at all","A great deal","A bit","Not at all","A bit","csx","Far left",1,"63>","North","High school","High"
"137",5,5,5,5,1,1,55,2,1,1,"Changing","Moderately worried","Equally","Unlikely","Very likely","Likely","Likely","A lot","Very","Neutral","A bit","csx","Center-left",2,"63>","North","High school","High"
"138",5,2,1,3,2,2,4,5,4,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Very likely","Possible","A great deal","Neutral","Little","Very","csx","Far left",2,"63>","North","Elementary","Very high"
"139",5,3,1,4,1,1,5,1,1,1,"Changing","Worried","Anthropic","Likely","Unlikely","Unlikely","Likely","A lot","Very little","Very little","Neutral","dx","Right",2,"63-31","Center","Superior","Medium"
"140",5,1,1,4,1,1,1,3,1,1,"Changing","Worried","Anthropic","Likely","Likely","Likely","Likely","A lot","Neutral","Neutral","A bit","csx","Center-left",2,"63>","Center","10","Very high"
"141",5,4,1,5,1,1,1,1,2,1,"Changing","Worried","Equally","Possible","Very likely","Very unlikely","Unlikely","A lot","Very little","Very little","Very little","csx","Far left",1,"63>","North","Superior","Medium"
"142",4,3,3,4,2,2,3,4,2,2,"Changing","Worried","Anthropic","Extremely","Likely","Likely","Unlikely","A great deal","Little","Not at all","Very little","csx","Center-left",1,"63-31","South/Isles","High school","Medium"
"143",5,4,4,5,1,1,1,3,3,1,"Changing","Moderately worried","Equally","Unlikely","Likely","Unlikely","Unlikely","A lot","Very little","Very little","Not at all","csx","Far left",1,"63-31","South/Isles","University","Very high"
"144",5,1,1,5,1,2,2,5,1,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Likely","Likely","A lot","Neutral","Little","A bit","cdx","Center-right",2,"63>","North","Elementary","Low"
"145",5,2,2,5,1,1,2,3,2,2,"Changing","Moderately worried","Equally","Unlikely","Very unlikely","Very unlikely","Very unlikely","A lot","A bit","Little","Neutral","csx","Center-left",1,"63-31","North","Superior","Medium"
"146",3,2,1,5,1,1,2,4,2,1,"Changing","Moderately worried","Anthropic","Unlikely","Possible","Unlikely","Possible","A lot","Very little","Not at all","Very little","m5s","Center-right",2,"63-31","North","High school","Low"
"147",5,1,1,5,1,1,1,1,1,1,"Changing","Worried","Anthropic","Unlikely","Likely","Unlikely","Likely","A great deal","Neutral","Not at all","Neutral","csx","Center-left",1,"63-31","Center","Superior","High"
"148",4,2,1,5,1,1,1,3,2,3,"Changing","Moderately worried","Anthropic","Likely","Likely","Possible","Likely","A great deal","A bit","Neutral","Little","csx","Center-left",1,"63-31","Center","Elementary","Very low"
"149",5,5,3,5,1,2,5,5,2,1,"Changing","Worried","Equally","Very unlikely","Possible","Possible","Unlikely","A great deal","Not at all","Not at all","Not at all","cdx","Far right",2,"63-31","Center","Superior","Very high"
"150",5,5,1,1,1,1,1,3,3,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Unlikely","Possible","A great deal","Very little","Little","Neutral","csx","Center-left",2,"63-31","North","University","Low"
"151",3,2,2,5,2,1,2,4,1,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Very unlikely","Unlikely","A great deal","Little","Neutral","A bit","csx","Left",1,"63>","North","Elementary","Low"
"152",4,3,1,5,1,5,1,4,2,1,"Changing","Worried","Anthropic","Possible","Possible","Possible","Possible","A great deal","Neutral","Very little","Little","csx","Center-left",1,"63>","South/Isles","Elementary","Very low"
"153",55,5,1,1,1,1,55,4,2,5,"Changing","Moderately worried","Anthropic","Very unlikely","Unlikely","Unlikely","Unlikely","A great deal","A bit","Very little","Little","cdx","Far left",1,"30-18","South/Isles","University","Very high"
"154",5,4,1,5,1,1,3,2,1,2,"Changing","Worried","Anthropic","Possible","Possible","Unlikely","Possible","A lot","Neutral","Very little","Little","m5s","Center-right",1,"63-31","North","University","High"
"155",4,3,3,2,1,1,1,3,4,3,"Changing","Not worried","Equally","Unlikely","Not at all","Not at all","Very unlikely","A great deal","Neutral","Little","Neutral","center","Center-right",1,"63-31","Center","Superior","Very low"
"156",2,3,3,4,1,2,2,4,2,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Unlikely","Very unlikely","A lot","Neutral","Not at all","Neutral","csx","Center-left",2,"63-31","South/Isles","Superior","Very low"
"157",5,1,1,5,1,1,55,4,2,3,"Changing","Not worried","Anthropic","Unlikely","Likely","Unlikely","Unlikely","A great deal","Little","Very little","Very little","csx","Far left",1,"63-31","Center","Superior","Low"
"158",5,2,2,4,1,2,3,4,1,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Likely","Likely","A lot","A bit","Neutral","A bit","csx","Center",1,"30-18","Center","High school","Low"
"159",5,5,1,5,1,1,1,5,1,4,"Changing","Worried","Equally","Not at all","Very unlikely","Very unlikely","Very unlikely","A great deal","Not at all","Not at all","Not at all","m5s","Far right",2,"63-31","North","Superior","Very low"
"160",4,4,2,2,2,2,2,2,2,2,"Changing","Worried","Anthropic","Unlikely","Unlikely","Unlikely","Unlikely","A lot","Very","A bit","A bit","csx","Center",2,"63-31","North","University","High"
"161",55,55,3,3,3,3,3,5,5,5,"Changing","Not worried","Equally","Unlikely","Likely","Unlikely","Unlikely","A great deal","Very little","A bit","Very","m5s","Center-right",2,"63-31","North","Superior","Low"
"162",4,4,3,5,2,2,2,2,1,1,"Changing","Moderately worried","Anthropic","Possible","Likely","Likely","Likely","A lot","Neutral","Neutral","A bit","csx","Left",1,"63-31","South/Isles","University","High"
"163",4,3,1,4,1,2,2,5,2,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Likely","Very likely","A great deal","Neutral","Little","A bit","m5s","Center-right",2,"63-31","North","High school","High"
"164",4,3,2,5,3,2,2,5,2,2,"Changing","Worried","Anthropic","Very unlikely","Very unlikely","Very unlikely","Very unlikely","A lot","Very little","Very little","Very little","csx","Center-right",1,"63-31","North","Elementary","High"
"165",5,4,1,3,1,1,5,1,1,1,"Changing","Moderately worried","Anthropic","Very likely","Likely","Possible","Unlikely","A great deal","Neutral","Very little","A bit","csx","Center-left",1,"63-31","South/Isles","Elementary","Low"
"166",2,2,2,4,1,1,1,5,5,4,"Changing","Worried","Equally","Likely","Likely","Likely","Likely","A great deal","Not at all","Not at all","Very little","csx","Center-left",2,"63-31","Center","Elementary","High"
"167",4,4,2,5,2,3,4,3,1,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Possible","Possible","A great deal","A bit","Neutral","Very little","csx","Center",1,"63>","South/Isles","Superior","Very high"
"168",5,3,3,4,1,1,1,3,2,2,"Changing","Worried","Anthropic","Unlikely","Likely","Very likely","Unlikely","A great deal","Little","Very little","Neutral","csx","Center-left",2,"63-31","South/Isles","Elementary","Low"
"169",5,4,3,5,3,4,4,2,3,2,"Changing","Moderately worried","Equally","Likely","Likely","Likely","Likely","A lot","A bit","Little","A bit","m5s","Center",1,"63-31","North","University","High"
"170",5,5,2,4,1,1,1,4,2,2,"Changing","Worried","Equally","Possible","Unlikely","Unlikely","Very unlikely","A lot","Very","Very little","Little","csx","Center",2,"63-31","North","Superior","High"
"171",4,3,2,5,4,3,4,5,4,4,"Changing","Not worried","Equally","Unlikely","Likely","Possible","Unlikely","A lot","Very little","A bit","A bit","m5s","Left",1,"63-31","North","Superior","Medium"
"172",5,4,1,5,1,1,1,5,4,4,"Changing","Worried","Anthropic","Unlikely","Likely","Unlikely","Likely","A lot","A bit","Very little","Very little","csx","Center-left",1,"63-31","Center","Superior","Low"
"173",4,4,1,4,1,1,4,1,1,4,"Changing","Moderately worried","Anthropic","Unlikely","Extremely","Extremely","Extremely","A lot","Neutral","Not at all","Not at all","csx","Left",2,"63-31","North","Elementary","High"
"174",5,2,3,5,1,1,1,1,1,1,"Changing","Worried","Anthropic","Not at all","Extremely","Very unlikely","Extremely","A lot","Not at all","Not at all","A bit","m5s","Right",1,"63-31","Center","University","Medium"
"175",5,4,2,5,2,2,2,5,1,1,"Changing","Moderately worried","Anthropic","Likely","Likely","Very likely","Likely","A lot","Little","Very little","Neutral","csx","Center-left",2,"63-31","Center","Elementary","Low"
"176",5,2,1,5,1,1,1,3,1,1,"Changing","Worried","Anthropic","Likely","Likely","Unlikely","Very likely","Some","A bit","Very","Very","csx","Center-left",1,"63-31","Center","Superior","High"
"177",2,3,1,4,1,1,1,4,4,4,"Changing","Worried","Anthropic","Likely","Likely","Likely","Likely","A lot","Little","Little","Little","csx","Center-right",1,"30-18","Center","Elementary","Very high"
"178",3,3,1,5,1,1,1,3,2,4,"Changing","Moderately worried","Anthropic","Unlikely","Extremely","Unlikely","Possible","Some","A bit","A bit","A bit","csx","Far left",1,"63-31","North","Superior","Low"
"179",3,3,2,5,2,2,3,4,1,3,"Changing","Moderately worried","Anthropic","Likely","Unlikely","Unlikely","Unlikely","A lot","Little","Not at all","Little","m5s","Center-left",1,"30-18","North","University","Medium"
"180",4,3,2,4,1,1,2,4,2,4,"Changing","Not worried","Equally","Possible","Unlikely","Unlikely","Possible","A lot","A bit","Little","A bit","csx","Center-left",1,"63-31","North","High school","Medium"
"181",4,2,2,3,2,2,2,5,2,2,"Changing","Moderately worried","Anthropic","Very unlikely","Likely","Very unlikely","Very unlikely","A lot","Very little","Not at all","Not at all","dx","Right",1,"63-31","North","High school","Low"
"182",4,2,2,5,1,1,1,5,2,2,"Changing","Not worried","Anthropic","Very likely","Unlikely","Unlikely","Very unlikely","A great deal","A bit","Very little","Neutral","csx","Left",2,"63>","South/Isles","Superior","Low"
"183",4,3,3,1,1,1,1,4,2,2,"Changing","Moderately worried","Anthropic","Unlikely","Very likely","Unlikely","Very unlikely","A lot","A bit","A bit","A bit","csx","Center",1,"63-31","North","University","Very high"
"184",4,4,2,2,2,2,3,3,1,1,"Changing","Worried","Anthropic","Possible","Likely","Likely","Unlikely","A great deal","Little","Very little","Neutral","cdx","Far right",1,"63>","South/Isles","Elementary","Medium"
"185",5,3,3,4,2,2,5,4,2,4,"Changing","Moderately worried","Equally","Unlikely","Unlikely","Unlikely","Very unlikely","Some","Neutral","Neutral","Neutral","csx","Far left",2,"63-31","North","Superior","Very high"
"186",5,3,3,3,2,2,3,2,2,3,"Changing","Moderately worried","Anthropic","Likely","Likely","Likely","Likely","A lot","Neutral","Very little","Little","cdx","Right",1,"63-31","North","Superior","Very high"
"187",3,1,1,5,1,1,55,4,1,5,"Changing","Not worried","Anthropic","Likely","Very likely","Very likely","Likely","Some","Very little","Very little","Very little","csx","Far right",2,"63-31","North","Elementary","Very high"
"188",4,2,2,3,2,2,3,3,2,4,"Not changing","Not worried","Equally","Unlikely","Possible","Possible","Possible","A lot","A bit","Very little","Very little","dx","Right",1,"63-31","Center","University","Low"
"189",5,4,1,4,1,1,4,2,1,3,"Changing","Moderately worried","Anthropic","Very unlikely","Possible","Very unlikely","Extremely","A lot","Neutral","Neutral","Neutral","csx","Left",1,"63-31","North","Elementary","Low"
"190",5,4,1,5,1,1,3,2,1,2,"Changing","Worried","Anthropic","Extremely","Very likely","Extremely","Very unlikely","A lot","Little","Neutral","A bit","csx","Far left",1,"63-31","North","Superior","Medium"
"191",3,3,3,3,3,3,3,2,2,2,"Changing","Moderately worried","Equally","Likely","Likely","Very likely","Very likely","A lot","Little","Very little","Very little","dx","Right",1,"63-31","North","Superior","Medium"
"192",4,2,3,5,2,2,2,4,2,3,"Changing","Not worried","Equally","Possible","Very unlikely","Very unlikely","Unlikely","A lot","A bit","Very little","A bit","dx","Center-right",1,"63-31","North","Superior","Very high"
"193",4,4,2,2,2,2,55,1,1,1,"Changing","Moderately worried","Anthropic","Likely","Likely","Unlikely","Likely","A lot","Very little","Little","Neutral","m5s","Center",2,"63-31","South/Isles","High school","Very low"
"194",5,3,3,3,1,2,2,4,3,2,"Changing","Worried","Anthropic","Likely","Likely","Likely","Likely","A great deal","Little","Very little","A bit","m5s","Center",2,"63-31","South/Isles","Elementary","Low"
"195",4,1,3,5,2,2,3,4,4,3,"Changing","Moderately worried","Anthropic","Very unlikely","Likely","Unlikely","Not at all","A lot","A bit","Very little","Little","csx","Far left",1,"63-31","South/Isles","Superior","Medium"
"196",4,1,1,5,5,5,5,4,5,1,"Changing","Worried","Equally","Not at all","Likely","Very likely","Extremely","A great deal","Not at all","Not at all","Not at all","m5s","Far left",1,"63>","South/Isles","Elementary","Low"
"197",4,4,3,3,1,1,4,3,1,3,"Changing","Moderately worried","Equally","Likely","Likely","Likely","Possible","A lot","Neutral","Very little","Neutral","csx","Left",2,"63>","South/Isles","University","Very high"
"198",4,3,2,4,1,1,1,3,1,2,"Changing","Moderately worried","Equally","Likely","Very likely","Very unlikely","Likely","A lot","Very little","Little","Very","csx","Left",2,"30-18","South/Isles","High school","Medium"
"199",2,3,3,3,1,2,2,4,4,3,"Changing","Worried","Anthropic","Possible","Likely","Possible","Likely","A great deal","Very little","Very little","Very little","csx","Left",1,"63>","Center","Elementary","Low"
"200",5,3,1,5,1,1,1,1,1,1,"Changing","Worried","Equally","Likely","Very unlikely","Very unlikely","Very unlikely","A lot","Neutral","Little","A bit","csx","Left",1,"63-31","Center","High school","Medium"
"201",3,2,1,4,1,1,2,4,1,2,"Changing","Moderately worried","Anthropic","Likely","Possible","Possible","Possible","Some","Very little","Very little","Little","dx","Center-right",1,"63-31","North","University","Very high"
"202",5,3,2,2,2,1,2,5,5,2,"Changing","Worried","Anthropic","Very unlikely","Very unlikely","Very unlikely","Very unlikely","A great deal","Very little","Not at all","Not at all","m5s","Left",2,"63-31","South/Isles","Elementary","Low"
"203",3,2,3,4,1,1,2,3,2,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Unlikely","Likely","A lot","Neutral","A bit","A bit","cdx","Center-right",2,"63>","North","Superior","High"
"204",5,5,1,5,1,1,4,5,1,5,"Changing","Moderately worried","Anthropic","Not at all","Extremely","Not at all","Not at all","A lot","Not at all","Not at all","Not at all","m5s","Center-right",2,"63-31","North","Superior","High"
"205",5,3,3,4,2,2,2,2,2,3,"Changing","Worried","Anthropic","Possible","Very unlikely","Likely","Not at all","A great deal","Very little","Little","Little","dx","Right",1,"63>","North","High school","Very high"
"206",4,3,3,2,2,2,2,3,3,3,"Changing","Worried","Anthropic","Likely","Likely","Likely","Likely","A great deal","A bit","Not at all","Extremely","csx","Center-right",1,"63>","South/Isles","Elementary","Medium"
"207",3,4,1,5,1,1,1,3,2,1,"Changing","Moderately worried","Anthropic","Very unlikely","Possible","Unlikely","Unlikely","A lot","Little","Not at all","Little","csx","Center",2,"30-18","Center","Superior","Low"
"208",5,2,1,5,1,1,1,4,1,2,"Changing","Worried","Equally","Likely","Likely","Likely","Likely","A great deal","Little","Little","Not at all","csx","Center",1,"63-31","North","Superior","Very high"
"209",4,4,2,5,1,1,1,5,1,1,"Changing","Not worried","Natural","Likely","Likely","Unlikely","Likely","A great deal","Not at all","Not at all","Little","cdx","Far right",1,"63-31","South/Isles","Elementary","Very low"
"210",4,2,1,4,1,2,2,4,2,2,"Changing","Worried","Equally","Likely","Very likely","Possible","Unlikely","A great deal","Little","Very little","A bit","m5s","Center",1,"63-31","North","Elementary","Low"
"211",4,3,2,4,1,1,5,5,5,5,"Changing","Worried","Anthropic","Possible","Very likely","Very unlikely","Unlikely","A lot","A bit","Neutral","Very","m5s","Center-right",1,"30-18","South/Isles","Superior","Very low"
"212",5,5,1,1,1,1,1,2,1,2,"Changing","Worried","Anthropic","Unlikely","Likely","Likely","Very likely","A lot","Little","Little","Little","m5s","Center",1,"30-18","North","Elementary","Low"
"213",5,3,3,5,1,1,1,2,2,2,"Changing","Moderately worried","Anthropic","Very unlikely","Very likely","Unlikely","Likely","A great deal","Very little","Not at all","Little","m5s","Center-right",1,"63-31","North","Superior","High"
"214",5,3,3,5,1,1,1,2,1,2,"Changing","Worried","Natural","Possible","Very likely","Unlikely","Likely","A lot","Neutral","Neutral","Very","csx","Center",2,"63-31","South/Isles","Doctorate","Low"
"215",4,3,3,4,3,2,2,5,2,2,"Changing","Moderately worried","Anthropic","Likely","Unlikely","Likely","Very likely","A lot","Extremely","A bit","Extremely","csx","Center",1,"63-31","South/Isles","Elementary","High"
"216",5,5,3,5,3,3,2,2,4,3,"Changing","Worried","Equally","Likely","Likely","Likely","Likely","Some","Little","Very little","Very little","cdx","Far right",2,"30-18","South/Isles","Superior","Medium"
"217",5,3,2,5,1,2,3,2,2,2,"Changing","Worried","Anthropic","Likely","Likely","Unlikely","Likely","A lot","A bit","A bit","A bit","csx","Center-left",1,"63-31","North","Superior","High"
"218",3,3,1,5,2,2,2,3,2,3,"Changing","Moderately worried","Equally","Unlikely","Possible","Likely","Unlikely","A lot","Neutral","Very little","Little","dx","Center-right",2,"63>","North","Elementary","Very low"
"219",5,2,2,4,3,4,4,3,2,4,"Changing","Moderately worried","Anthropic","Likely","Possible","Unlikely","Unlikely","A great deal","Little","Very little","Little","csx","Center",2,"63>","North","Elementary","Very low"
"220",5,3,3,5,1,1,55,4,2,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Unlikely","Unlikely","A lot","Little","Very little","Very little","cdx","Right",2,"63>","North","Elementary","Low"
"221",5,3,1,4,1,1,4,2,1,3,"Changing","Moderately worried","Anthropic","Extremely","Extremely","Extremely","Extremely","A great deal","Not at all","Not at all","Not at all","m5s","Right",1,"63-31","North","Superior","Very high"
"222",5,4,3,3,1,1,1,2,2,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Likely","Very likely","Some","Neutral","Little","A bit","cdx","Center-right",1,"63-31","South/Isles","Superior","Medium"
"223",5,3,2,5,3,3,3,5,2,5,"Changing","Moderately worried","Equally","Unlikely","Unlikely","Likely","Unlikely","A lot","A bit","Neutral","A bit","csx","Center",1,"63>","South/Isles","Superior","Medium"
"224",4,3,2,5,1,1,55,5,4,2,"Changing","Moderately worried","Anthropic","Likely","Possible","Possible","Likely","A great deal","Very little","Not at all","Little","cdx","Center-left",2,"63-31","South/Isles","Elementary","Medium"
"225",5,5,5,5,1,1,3,5,2,2,"Changing","Not worried","Natural","Not at all","Not at all","Not at all","Not at all","A great deal","Little","Very little","Neutral","csx","Center",2,"63-31","North","Superior","Low"
"226",5,1,1,5,2,1,1,4,2,2,"Changing","Moderately worried","Anthropic","Unlikely","Likely","Likely","Likely","A great deal","Little","Not at all","Little","dx","Right",1,"63-31","North","Superior","Medium"
"227",5,3,1,5,1,1,5,5,1,2,"Changing","Worried","Anthropic","Possible","Possible","Possible","Very unlikely","A great deal","A bit","Not at all","A bit","csx","Left",1,"63-31","South/Isles","Elementary","Low"
"228",3,3,2,5,2,2,1,5,2,5,"Changing","Worried","Anthropic","Possible","Likely","Likely","Possible","A great deal","Little","Not at all","Little","csx","Center",1,"30-18","South/Isles","Superior","Very low"
"229",5,4,3,4,1,2,2,2,2,3,"Changing","Moderately worried","Anthropic","Likely","Likely","Likely","Likely","A great deal","Very little","Not at all","Not at all","cdx","Right",1,"63-31","North","Superior","High"
"230",5,1,2,5,3,3,2,2,1,2,"Changing","Moderately worried","Equally","Likely","Likely","Likely","Likely","A lot","Little","Little","Neutral","csx","Center-left",2,"63-31","North","Superior","Medium"
"231",3,4,1,5,1,1,4,5,3,2,"Changing","Moderately worried","Equally","Unlikely","Very unlikely","Not at all","Very unlikely","A great deal","Little","Very little","Very","m5s","Center-left",2,"63-31","South/Isles","Superior","Low"
"232",5,4,1,5,2,2,3,3,3,3,"Changing","Not worried","Natural","Unlikely","Possible","Unlikely","Unlikely","Some","A bit","A bit","A bit","csx","Right",1,"63>","North","Elementary","Very low"
"233",4,1,1,5,1,3,2,4,1,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Likely","Likely","A lot","Little","Little","Neutral","m5s","Center-left",1,"30-18","North","High school","High"
"234",5,3,3,5,2,2,2,4,2,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Likely","Likely","A great deal","Little","Very little","Little","csx","Center-left",1,"63-31","Center","Superior","Medium"
"235",5,3,2,5,2,2,4,3,2,3,"Changing","Worried","Equally","Possible","Very unlikely","Unlikely","Very unlikely","A great deal","A bit","Not at all","Little","csx","Center-left",1,"63>","North","Elementary","Medium"
"236",4,3,2,5,1,1,1,2,1,1,"Changing","Moderately worried","Equally","Very likely","Possible","Possible","Very likely","A great deal","Neutral","Little","A bit","cdx","Center-right",2,"63>","North","Superior","High"
"237",5,1,1,5,1,2,1,5,2,2,"Changing","Moderately worried","Equally","Possible","Possible","Likely","Likely","A great deal","A bit","Little","A bit","csx","Center-left",2,"63-31","North","High school","High"
"238",4,4,1,5,1,1,3,5,1,4,"Changing","Not worried","Anthropic","Likely","Likely","Likely","Likely","A great deal","Not at all","Very little","Little","m5s","Center-right",2,"63-31","North","University","Medium"
"239",5,4,1,5,1,4,2,5,2,2,"Changing","Moderately worried","Anthropic","Very unlikely","Possible","Unlikely","Likely","A great deal","Little","Not at all","Not at all","m5s","Right",1,"63-31","North","Superior","High"
"240",4,3,2,5,2,1,2,2,2,2,"Changing","Moderately worried","Equally","Likely","Likely","Unlikely","Likely","A great deal","A bit","Neutral","Neutral","cdx","Center-right",2,"63-31","North","Superior","High"
"241",4,4,1,5,1,1,2,2,1,2,"Changing","Moderately worried","Anthropic","Very unlikely","Likely","Very unlikely","Very unlikely","A great deal","A bit","Not at all","A bit","csx","Left",2,"63-31","South/Isles","University","Low"
"242",4,1,1,5,1,2,1,5,2,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Likely","Likely","A lot","A bit","Little","A bit","csx","Center",2,"63-31","North","High school","Low"
"243",5,3,2,5,2,2,2,2,1,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Unlikely","Likely","Some","A bit","Neutral","A bit","csx","Center-left",1,"63-31","North","Superior","Low"
"244",4,2,2,5,1,1,5,3,2,1,"Changing","Worried","Anthropic","Very likely","Unlikely","Possible","Likely","A lot","Very little","Not at all","Not at all","dx","Center",1,"30-18","North","University","Medium"
"245",5,4,2,5,1,3,3,4,1,1,"Changing","Moderately worried","Anthropic","Unlikely","Likely","Possible","Possible","A lot","Little","Little","A bit","csx","Center-left",2,"63-31","North","University","High"
"246",4,1,1,5,1,2,1,4,2,2,"Changing","Moderately worried","Equally","Possible","Likely","Likely","Likely","A lot","A bit","Little","A bit","m5s","Center",2,"63-31","North","High school","Low"
"247",5,3,2,5,3,3,2,4,2,1,"Changing","Moderately worried","Equally","Likely","Likely","Very unlikely","Likely","A lot","Little","Not at all","Very little","csx","Far left",2,"63-31","North","Superior","High"
"248",5,5,3,5,1,1,1,3,1,1,"Changing","Worried","Anthropic","Extremely","Very likely","Possible","Very likely","A great deal","Not at all","Not at all","Not at all","csx","Center-left",2,"63-31","Center","Superior","Low"
"249",5,3,1,5,1,3,5,2,1,4,"Changing","Moderately worried","Equally","Possible","Very likely","Very likely","Not at all","A great deal","Very little","Not at all","Neutral","csx","Right",1,"63-31","South/Isles","Superior","Low"
"250",5,4,2,5,1,1,4,3,2,2,"Changing","Moderately worried","Anthropic","Unlikely","Unlikely","Unlikely","Possible","A lot","Little","Very little","Little","dx","Center-right",1,"63-31","North","Superior","High"
"251",4,1,1,5,1,2,2,4,2,2,"Not changing","Moderately worried","Natural","Likely","Likely","Likely","Likely","A great deal","Neutral","Little","A bit","cdx","Center-right",2,"63-31","North","Elementary","Medium"
"252",2,3,2,1,1,2,2,4,4,2,"Changing","Worried","Equally","Very likely","Likely","Likely","Likely","A lot","Little","Not at all","Very little","csx","Left",1,"30-18","Center","Superior","Very high"
"253",4,3,2,5,1,3,3,4,2,2,"Changing","Moderately worried","Anthropic","Likely","Possible","Likely","Likely","A great deal","A bit","Very little","Little","csx","Center-right",1,"63>","South/Isles","Elementary","Low"
"254",4,4,1,5,1,1,2,2,2,3,"Changing","Moderately worried","Equally","Likely","Possible","Possible","Possible","Some","A bit","Neutral","A bit","csx","Center-left",1,"63-31","South/Isles","Superior","Medium"
"255",5,2,2,3,1,1,2,4,2,2,"Changing","Worried","Anthropic","Possible","Very likely","Unlikely","Possible","Some","Little","Little","A bit","csx","Left",1,"63>","Center","Superior","Low"
"256",5,3,2,5,1,1,4,3,1,3,"Changing","Worried","Equally","Possible","Likely","Likely","Likely","A great deal","Very little","Little","A bit","csx","Left",1,"63>","North","Elementary","High"
"257",4,5,2,1,2,1,3,2,2,1,"Changing","Worried","Equally","Unlikely","Unlikely","Unlikely","Not at all","A lot","Not at all","Not at all","Neutral","cdx","Far right",1,"63-31","North","Elementary","Medium"
"258",5,3,1,5,1,1,3,2,1,2,"Changing","Worried","Anthropic","Possible","Extremely","Possible","Extremely","Some","Neutral","Neutral","Extremely","m5s","Center",1,"30-18","South/Isles","University","Low"
"259",1,2,1,3,3,3,2,4,4,3,"Changing","Worried","Anthropic","Not at all","Very likely","Unlikely","Likely","A lot","Little","Not at all","Very little","csx","Left",2,"63-31","South/Isles","Superior","Low"
"260",5,3,2,2,1,1,1,5,1,2,"Changing","Moderately worried","Equally","Unlikely","Likely","Unlikely","Very unlikely","A lot","Little","Little","Little","dx","Center-right",2,"63-31","South/Isles","University","High"
"261",4,2,1,5,2,2,1,2,1,1,"Changing","Moderately worried","Equally","Possible","Very likely","Very likely","Likely","A lot","Little","Very little","Neutral","dx","Center-right",2,"63-31","North","Superior","High"
"262",5,2,1,5,1,1,1,4,4,2,"Changing","Moderately worried","Anthropic","Possible","Likely","Possible","Likely","A great deal","Very little","Not at all","Little","m5s","Center",2,"63>","North","Elementary","Low"
"263",5,4,3,4,2,3,2,2,3,2,"Changing","Moderately worried","Anthropic","Unlikely","Likely","Unlikely","Possible","A lot","A bit","Little","A bit","csx","Center-left",2,"63>","North","Superior","High"
"264",4,3,2,4,1,1,2,3,1,2,"Changing","Moderately worried","Equally","Likely","Likely","Unlikely","Unlikely","A lot","Neutral","A bit","Neutral","csx","Center-left",1,"30-18","North","University","High"
"265",5,1,1,5,1,1,1,4,2,2,"Changing","Moderately worried","Anthropic","Very likely","Likely","Very likely","Likely","Some","Little","Neutral","A bit","m5s","Center",1,"30-18","North","High school","High"
"266",1,1,1,5,1,1,1,5,3,5,"Changing","Moderately worried","Equally","Not at all","Likely","Not at all","Unlikely","A great deal","Not at all","Not at all","Little","m5s","Right",2,"63-31","South/Isles","Elementary","Medium"
"267",2,2,1,2,1,1,4,4,4,2,"Changing","Moderately worried","Natural","Very unlikely","Very unlikely","Very unlikely","Likely","A great deal","Little","Very little","Very little","dx","Right",2,"30-18","South/Isles","High school","High"
"268",5,4,1,4,1,3,1,5,2,1,"Changing","Not worried","Equally","Unlikely","Unlikely","Unlikely","Not at all","A great deal","Little","Very little","Little","m5s","Center-left",1,"63>","North","University","High"
"269",4,2,1,5,1,1,2,4,3,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Likely","Likely","A lot","A bit","Neutral","A bit","csx","Center-left",1,"63-31","North","Superior","High"
"270",5,3,2,4,1,2,4,4,1,2,"Changing","Worried","Anthropic","Possible","Very likely","Likely","Likely","Some","A bit","A bit","A bit","csx","Center-left",1,"63>","South/Isles","University","Very high"
"271",3,2,3,3,2,3,4,2,2,2,"Changing","Moderately worried","Anthropic","Likely","Likely","Likely","Likely","A great deal","Little","Not at all","Not at all","cdx","Right",2,"63-31","South/Isles","High school","Very low"
"272",4,3,2,3,2,2,1,2,1,1,"Changing","Moderately worried","Anthropic","Very likely","Very likely","Very likely","Likely","A lot","Little","Very little","Little","cdx","Center-right",2,"63>","North","Superior","Medium"
